"","dataset.id","site.name","lat","long","depth","Alnus","Amaranthaceae undiff.","Ambrosia","Artemisia","Asteraceae undiff.","Betula","Carya","Fagus","Fraxinus","Juglans","Morus","Nyssa","Ostrya/Carpinus","Pinus undiff.","Platanus","Poaceae undiff.","Populus","Quercus","Tilia","Ulmus"
"1","1114","Howes Prairie Marsh",41.65,-87.072222,0,0,5,68,0,21,4,4,4,0,0,1,7,2,15,1,9,2,148,0,7
"2","1114","Howes Prairie Marsh",41.65,-87.072222,1,1,4,43,0,25,4,0,4,0,1,1,0,0,14,1,29,0,157,1,6
"3","1114","Howes Prairie Marsh",41.65,-87.072222,2,2,3,43,3,68,3,1,2,0,1,5,5,1,4,0,9,1,110,0,3
"4","1114","Howes Prairie Marsh",41.65,-87.072222,3,1,2,81,0,43,3,2,0,1,1,1,3,2,12,0,16,8,128,0,8
"5","1114","Howes Prairie Marsh",41.65,-87.072222,4,4,2,107,1,31,4,7,2,0,0,0,9,0,15,0,20,8,111,1,2
"6","1114","Howes Prairie Marsh",41.65,-87.072222,5,2,2,96,4,2,1,3,1,0,4,0,1,0,15,0,33,0,91,0,9
"7","1114","Howes Prairie Marsh",41.65,-87.072222,6,1,2,24,7,2,3,6,2,0,1,0,1,1,49,0,27,0,98,0,4
"8","1114","Howes Prairie Marsh",41.65,-87.072222,8,2,0,8,3,3,1,15,10,0,2,0,0,3,37,0,92,3,111,2,2
"9","1114","Howes Prairie Marsh",41.65,-87.072222,10,3,6,32,2,26,4,19,4,2,8,0,1,0,62,0,26,40,79,2,9
"10","1114","Howes Prairie Marsh",41.65,-87.072222,12,0,2,4,2,2,5,7,2,0,2,0,0,0,38,0,77,9,109,3,1
"11","1114","Howes Prairie Marsh",41.65,-87.072222,14,3,2,13,0,13,5,3,0,1,5,0,0,0,127,0,19,5,32,2,3
"12","1114","Howes Prairie Marsh",41.65,-87.072222,16,0,1,9,1,2,0,6,0,0,0,0,0,0,64,0,12,2,36,2,1
"13","1114","Howes Prairie Marsh",41.65,-87.072222,18,0,0,1,0,3,1,2,0,0,0,0,0,0,171,0,3,6,9,1,1
"14","1114","Howes Prairie Marsh",41.65,-87.072222,20,1,0,8,0,2,0,4,1,0,0,0,0,0,118,0,11,0,7,0,1
"15","1114","Howes Prairie Marsh",41.65,-87.072222,22,0,0,1,0,0,0,2,0,9,0,0,0,0,182,0,3,9,5,0,0
"16","1114","Howes Prairie Marsh",41.65,-87.072222,24,0,1,2,2,4,2,5,0,0,1,0,0,0,116,0,8,3,10,2,0
"17","1114","Howes Prairie Marsh",41.65,-87.072222,26,0,1,7,0,1,3,4,0,1,0,0,0,0,199,0,4,3,7,0,0
"18","1114","Howes Prairie Marsh",41.65,-87.072222,28,0,0,2,1,1,0,1,0,0,0,0,0,0,114,0,7,0,19,0,0
"19","1114","Howes Prairie Marsh",41.65,-87.072222,30,0,1,0,0,1,0,0,0,0,2,0,0,0,90,0,0,0,6,0,0
"20","1114","Howes Prairie Marsh",41.65,-87.072222,32,0,0,0,0,0,0,1,0,0,0,0,0,0,59,0,2,2,5,0,1
