"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Adiantum","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae subf. Asteroideae","Betula","Brassicaceae","Carya","Castanea","Cornus","Corylus","Cupressaceae undiff.","Dryopteris","Ericaceae undiff.","Fagus","Fraxinus","Juglans","Larix","Morus","Myrica","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus undiff.","Plantago","Poaceae undiff.","Populus","Pteridium","Quercus","Rosaceae undiff.","Salix","Selaginella","Thalictrum","Tilia","Tsuga","Ulmus"
"1","15892","White Lake",40.99967,-74.91347,220,5726,7886,6791,1,5,0,1,0,1,0,0,0,8,0,0,0,0,0,2,3,0,10,1,0,0,0,0,0,12,1,92,0,3,0,9,127,0,0,0,0,0,47,4
"2","15892","White Lake",40.99967,-74.91347,240,6389,8504,7419,0,2,0,2,0,3,0,1,0,6,0,0,0,0,1,0,1,0,12,6,1,0,0,0,0,20,0,95,0,1,3,4,148,0,1,0,0,0,50,3
"3","15892","White Lake",40.99967,-74.91347,260,7065,9107,8044,1,0,0,2,0,5,1,0,0,12,0,1,0,0,1,1,2,0,8,1,0,0,1,0,0,21,2,165,0,2,0,6,70,0,1,0,0,0,54,8
"4","15892","White Lake",40.99967,-74.91347,280,7751,9678,8647,0,3,0,3,0,1,0,1,0,13,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,21,2,170,0,0,1,4,72,0,1,0,0,1,29,3
"5","15892","White Lake",40.99967,-74.91347,300,8317,10038,9129,0,2,0,3,1,2,0,0,0,16,0,1,0,0,0,0,6,0,0,1,1,0,0,0,0,12,1,244,0,0,0,8,56,0,0,0,0,0,33,6
"6","15892","White Lake",40.99967,-74.91347,320,8851,10364,9581,3,1,0,2,0,2,0,0,0,7,0,0,0,0,0,1,4,0,0,4,0,0,0,0,0,16,3,245,0,2,0,5,49,0,0,0,0,0,24,2
"7","15892","White Lake",40.99967,-74.91347,340,9401,10681,10025,1,6,0,2,0,0,0,0,0,22,0,0,1,0,1,0,2,0,0,6,0,0,0,0,0,52,1,242,0,3,0,3,64,0,1,0,0,0,11,12
"8","15892","White Lake",40.99967,-74.91347,360,9984,10989,10454,1,2,0,1,0,2,0,0,0,10,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,12,0,231,0,2,0,5,48,0,0,0,0,0,9,6
"9","15892","White Lake",40.99967,-74.91347,370,10307,11138,10656,3,5,0,1,0,1,0,0,0,24,0,0,1,0,1,1,3,0,1,5,0,0,0,0,0,9,2,223,0,2,0,1,34,1,0,0,0,1,4,5
"10","15892","White Lake",40.99967,-74.91347,375,10439,11245,10789,3,13,0,1,1,0,0,1,1,14,0,1,0,0,0,1,2,0,3,6,0,0,0,0,1,7,1.5,320,0,0,1,4,33,0,0,0,0,0,7,13
"11","15892","White Lake",40.99967,-74.91347,380,10556,11367,10944,9,3,0,2,0,1,0,2,0,19,0,0,0,0,0,1,4,1,0,3,0,0,0,0,0,4,3,267,0,0,0,5,16,0,0,0,0,0,10,8
"12","15892","White Lake",40.99967,-74.91347,385,10670,11482,11100,13.5,9,0,3,0,0,0,1,1,35,0,0,0,0,0,2,4,0,0,5,0,2,0,0,0,1,9,183,0,0,0,12,13,0,1,0,0,0,16,2
"13","15892","White Lake",40.99967,-74.91347,390,10783,11597,11249,17,0,0,16,0,0,0,0,0,39,0,0,0,0,1,0,6,0,0,2,0,0,0,0,0,5,34,154,0,0,1,4,9,0,0,0,0,0,18,3
"14","15892","White Lake",40.99967,-74.91347,395,10881,11715,11355,27.5,1,0,18,0,0,0,1,3,43,0,1,0,0,0,2,1,0,0,5,0,0,0,0,0,9,39,161,0,0,0,2,2,0,1,0,1,0,7,0
"15","15892","White Lake",40.99967,-74.91347,400,10970,11831,11450,8,0,0,60,0,0,0,1,0,97,0,0,0,0,1,1,3,0,0,0,0,1,0,1,0,5,43,123,0,1,0,3,3,0,5,0,4,0,4,0
"16","15892","White Lake",40.99967,-74.91347,405,11064,11946,11546,16.5,1,0,28,0,0,0,1,0,11,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,7,51,181,0,0,0,2,3,0,0,0,1,0,7,0
"17","15892","White Lake",40.99967,-74.91347,410,11157,12052,11643,25,0,0,28,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,41,149,0,0,1,1,15,0,0,0,0,0,7,1
"18","15892","White Lake",40.99967,-74.91347,420,11354,12261,11834,2,7,0,9,0,1,0,0,0,42,0,0,0,0,1,1,4,0,3,8,0,0,0,0,0,22,11,246,0,0,0,5,68,0,0,0,0,0,5,9
"19","15892","White Lake",40.99967,-74.91347,425,11452,12367,11930,21.5,1,0,24,0,0,0,0,0,24,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,4,43,194,0,2,2,0,9,0,1,0,0,0,7,0
"20","15892","White Lake",40.99967,-74.91347,430,11553,12465,12028,17,0,0,49,0,2,0,2,0,25,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,7,42,182,0,0,2,1,6,0,3,0,1,0,1,0
"21","15892","White Lake",40.99967,-74.91347,435,11655,12562,12123,14,2,0,48,0,5,0,0,0,15,0,1,0,0,0,0,4,0,0,3,0,1,0,0,0,10,47,177,0,0,2,2,12,0,1,0,2,0,0,0
"22","15892","White Lake",40.99967,-74.91347,440,11762,12659,12222,11,1,1,66,1,5,0,2,0,26,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,10,46,171,0,3,2,3,7,0,1,0,0,0,1,0
"23","15892","White Lake",40.99967,-74.91347,445,11868,12752,12318,24.5,0,0,7,0,1,0,0,1,14,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,17,38.5,174,0,0,0,5,7,0,2,0,0,0,1,0
"24","15892","White Lake",40.99967,-74.91347,450,11976,12843,12414,35,0,0,18,0,1,0,1,0,19,0,0,0,0,1,1,2,0,1,9,0,0,0,0,0,31,56,123,0,0,3,19,14,0,0,0,2,0,1,0
"25","15892","White Lake",40.99967,-74.91347,455,12082,12932,12510,16,1,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,28,71,149,0,0,0,0,15,0,0,0,1,0,0,0
"26","15892","White Lake",40.99967,-74.91347,460,12196,13021,12605,7,1,0,6,0,2,0,0,0,15,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,15,49,220,0,1,2,2,22,0,0,0,0,0,0,0
"27","15892","White Lake",40.99967,-74.91347,465,12303,13105,12702,23,0,0,1,0,2,0,0,1,9,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,21,59,182,0,1,0,5,14,0,0,0,0,0,1,0
"28","15892","White Lake",40.99967,-74.91347,470,12416,13213,12809,19,0,0,12,0,2,0,1,0,17,0,3,1,0,0,2,5,0,2,1,0,0,0,0,0,13,39,264,0,0,1,1,16,0,0,0,1,0,0,0
"29","15892","White Lake",40.99967,-74.91347,475,12527,13324,12918,9.5,2,0,3,0,1,0,0,0,15,0,0,0,0,0,1,1,0,1,6,0,0,0,0,1,32,34,184,0,2,2,4,45,0,1,0,0,0,1,0
"30","15892","White Lake",40.99967,-74.91347,480,12641,13429,13028,29,0,0,3,0,1,0,2,0,27,0,0,0,0,5,1,1,0,0,8,0,0,0,3,0,34,53,215,1,0,0,1,26,0,0,0,0,0,1,0
"31","15892","White Lake",40.99967,-74.91347,485,12756,13536,13137,34.5,1,1,5,0,2,0,1,0,10,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,14,42.5,154,0,1,1,4,15,0,0,0,0,0,0,0
"32","15892","White Lake",40.99967,-74.91347,490,12876,13638,13248,27,0,0,5,0,2,0,0,0,13,0,0,0,0,0,4,0,0,1,4,0,0,0,0,0,19,39,170,0,0,1,0,14,0,2,0,0,0,2,2
"33","15892","White Lake",40.99967,-74.91347,495,13005,13736,13358,17.5,0,1,0,0,0,0,0,0,5,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,30,34,181,0,1,0,2,19,0,2,0,0,0,0,0
"34","15892","White Lake",40.99967,-74.91347,500,13144,13831,13467,30,1,0,6,0,3,0,1,0,35,0,1,0,0,1,4,2,0,0,6,0,0,0,0,0,24,61,188,0,6,3,1,31,0,7,0,0,0,0,0
"35","15892","White Lake",40.99967,-74.91347,505,13231,13958,13568,26.5,2,0,3,1,0,0,0,2,12,0,1,0,0,0,3,0,0,1,43,0,0,0,0,0,32,35,98,0,1,2,0,33,0,0,0,1,0,0,0
"36","15892","White Lake",40.99967,-74.91347,510,13316,14085,13665,41,0,0,0,0,2,0,1,0,16,0,1,0,0,0,1,1,0,0,9,1,1,0,0,0,13,85,115,0,1,2,0,12,0,0,0,0,0,1,1
"37","15892","White Lake",40.99967,-74.91347,515,13401,14209,13763,27.5,0,0,3,0,1,0,0,0,14,0,4,0,0,0,2,3,0,0,5,0,0,0,0,0,35,57,112,0,3,2,3,30,0,2,0,0,0,0,1
"38","15892","White Lake",40.99967,-74.91347,520,13486,14329,13862,16,0,0,2,1,1,0,1,1,27,0,0,0,2,0,5,2,0,0,2,0,0,0,0,0,4,49,168,0,2,7,0,4,0,1,0,0,0,0,0
"39","15892","White Lake",40.99967,-74.91347,525,13573,14447,13961,26,0,0,2,0,1,0,0,1,25,0,0,0,0,0,2,6,0,1,11,0,1,0,0,0,38,38,101,0,3,3,6,12,0,2,0,0,0,0,0
"40","15892","White Lake",40.99967,-74.91347,530,13657,14565,14057,13,0,0,3,0,4,0,0,3,28,0,0,0,0,0,7,8,0,0,4,0,0,0,0,0,17,92,49,0,6,0,20,24,0,6,1,0,0,0,0
"41","15892","White Lake",40.99967,-74.91347,535,13746,14678,14154,8,0,0,3,1,2,0,0,2,13,0,2,0,0,0,19,5,0,1,8,0,0,0,0,0,32,82,59,0,7,17,9,22,0,6,0,0,0,0,0
"42","15892","White Lake",40.99967,-74.91347,540,13837,14786,14249,3,0,0,8,0,2,0,2,0,4,0,2,0,0,0,1,1,0,0,1,1,0,0,0,0,4,188,61,0,2,2,1,7,0,5,0,1,0,0,0
"43","15892","White Lake",40.99967,-74.91347,545,13925,14889,14346,1.5,0,0,4,0,4,1,3,2,3,0,2,0,0,0,4,7,0,1,3,1,0,0,0,0,6,123,36,0,0,2,1,8,0,4,0,2,0,0,1
"44","15892","White Lake",40.99967,-74.91347,550,14012,15016,14447,3,0,0,4,0,2,0,4,2,12,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,192,45,0,2,0,2,1,0,3,0,1,0,0,0
